user_id,product_id,rating,timestamp
U0002,P0315,3,2024-04-20
U0007,P0567,1,2024-05-05
U0001,P0619,3,2024-03-30
U0007,P0372,4,2024-03-30
U0008,P0567,2,2024-05-16
U0004,P0447,4,2024-04-07
U0004,P0629,1,2024-05-04
U0010,P0229,5,2024-04-25
U0030,P0522,3,2024-04-29
U0019,P0535,4,2024-04-13
U0026,P0567,3,2024-04-01
U0025,P0594,5,2024-04-04
U0008,P0244,1,2024-05-11
U0027,P0522,1,2024-04-28
U0004,P0244,5,2024-04-08
U0025,P0519,5,2024-04-12
U0021,P0668,3,2024-04-27
U0025,P0263,2,2024-04-26
U0029,P0584,2,2024-05-15
U0005,P0516,4,2024-05-10
U0003,P0004,2,2024-04-11
U0007,P0513,5,2024-04-26
U0024,P0681,3,2024-04-12
U0020,P0375,2,2024-05-13
U0026,P0659,2,2024-04-07
U0030,P0203,2,2024-05-11
U0007,P0080,1,2024-05-05
U0010,P0229,5,2024-04-06
U0026,P0447,4,2024-04-19
U0006,P0499,5,2024-04-06
U0024,P0435,5,2024-05-15
U0028,P0077,4,2024-04-19
U0004,P0201,3,2024-05-03
U0018,P0495,1,2024-03-30
U0024,P0372,2,2024-05-20
U0011,P0527,3,2024-05-13
U0017,P0668,2,2024-05-18
U0005,P0617,2,2024-05-01
U0019,P0512,5,2024-04-27
U0019,P0617,2,2024-05-01
U0020,P0447,3,2024-05-14
U0017,P0263,4,2024-04-26
U0018,P0518,3,2024-04-26
U0013,P0462,4,2024-05-07
U0030,P0481,4,2024-05-12
U0009,P0520,3,2024-04-17
U0021,P0693,5,2024-04-30
U0023,P0025,3,2024-04-04
U0030,P0375,5,2024-05-21
U0020,P0201,1,2024-04-21
U0020,P0567,3,2024-04-28
U0006,P0315,2,2024-04-08
U0016,P0499,2,2024-05-14
U0028,P0389,4,2024-04-18
U0007,P0617,4,2024-04-02
U0019,P0077,5,2024-05-19
U0006,P0447,5,2024-05-23
U0030,P0676,2,2024-05-04
U0022,P0092,5,2024-04-27
U0003,P0457,2,2024-05-21
U0008,P0435,2,2024-05-01
U0014,P0025,2,2024-05-10
U0001,P0518,2,2024-05-22
U0029,P0124,5,2024-05-05
U0017,P0481,3,2024-04-09
U0026,P0584,3,2024-05-04
U0024,P0437,3,2024-03-30
U0029,P0288,5,2024-05-25
U0006,P0622,1,2024-05-05
U0013,P0583,1,2024-05-22
U0003,P0088,4,2024-05-23
U0004,P0229,4,2024-03-29
U0030,P0050,5,2024-04-01
U0027,P0004,5,2024-04-01
U0030,P0176,1,2024-05-26
U0030,P0693,3,2024-05-16
U0004,P0080,5,2024-04-10
U0018,P0080,5,2024-04-02
U0026,P0192,3,2024-04-21
U0017,P0505,5,2024-04-24
U0009,P0017,4,2024-05-26
U0009,P0627,3,2024-05-24
U0012,P0077,3,2024-05-06
U0003,P0513,1,2024-05-21
U0028,P0462,4,2024-05-04
U0021,P0080,4,2024-05-02
U0018,P0251,4,2024-04-16
U0027,P0693,5,2024-04-16
U0017,P0004,5,2024-04-15
U0006,P0289,5,2024-04-24
U0014,P0478,2,2024-05-08
U0003,P0514,2,2024-04-14
U0030,P0375,1,2024-05-27
U0012,P0276,2,2024-04-30
U0023,P0124,4,2024-04-26
U0026,P0080,2,2024-05-08
U0023,P0583,5,2024-04-05
U0027,P0158,5,2024-04-16
U0016,P0192,1,2024-05-06
U0026,P0129,4,2024-04-30
U0028,P0567,5,2024-04-20
U0022,P0013,1,2024-05-03
U0017,P0158,1,2024-05-05
U0007,P0534,5,2024-04-06
U0026,P0627,1,2024-04-03
U0024,P0518,4,2024-05-05
U0002,P0594,2,2024-05-03
U0011,P0534,2,2024-04-19
U0002,P0114,3,2024-03-30
U0023,P0229,2,2024-04-01
U0024,P0589,5,2024-04-08
U0008,P0251,4,2024-04-07
U0025,P0375,2,2024-05-07
U0030,P0622,4,2024-04-21
U0019,P0372,2,2024-03-30
U0015,P0595,1,2024-04-11
U0015,P0066,4,2024-05-12
U0011,P0158,2,2024-05-24
U0001,P0077,2,2024-04-09
U0023,P0285,4,2024-04-24
U0001,P0514,1,2024-04-23
U0021,P0315,3,2024-05-01
U0007,P0499,1,2024-04-02
U0009,P0192,3,2024-04-17
U0026,P0514,5,2024-05-21
U0023,P0372,3,2024-04-24
U0017,P0251,1,2024-05-18
U0001,P0681,1,2024-04-16
U0002,P0158,1,2024-04-06
U0020,P0499,2,2024-05-19
U0012,P0505,4,2024-04-17
U0030,P0080,1,2024-05-10
U0017,P0514,2,2024-04-21
U0029,P0288,1,2024-04-03
U0019,P0013,5,2024-05-19
U0006,P0114,1,2024-04-14
U0006,P0437,5,2024-04-08
U0023,P0114,5,2024-05-23
U0012,P0282,5,2024-05-01
U0005,P0315,1,2024-05-26
U0006,P0512,5,2024-04-27
U0021,P0457,4,2024-05-02
U0029,P0617,5,2024-05-04
U0017,P0437,5,2024-04-25
U0029,P0676,1,2024-05-21
U0021,P0567,3,2024-04-26
U0009,P0315,1,2024-04-26
U0002,P0495,5,2024-04-18
U0002,P0506,3,2024-04-24
U0020,P0478,5,2024-05-22
U0026,P0619,4,2024-05-04
U0020,P0120,3,2024-04-04
U0019,P0619,3,2024-05-06
U0006,P0375,2,2024-05-15
U0004,P0567,5,2024-04-30
U0005,P0435,3,2024-04-03
U0022,P0664,1,2024-05-07
U0014,P0288,1,2024-04-30
U0018,P0263,1,2024-04-15
U0015,P0432,5,2024-04-14
U0001,P0514,5,2024-04-09
U0003,P0285,2,2024-05-01
U0009,P0066,1,2024-04-12
U0016,P0315,2,2024-04-16
U0024,P0522,1,2024-04-21
U0008,P0657,5,2024-04-19
U0023,P0050,3,2024-05-09
U0024,P0664,2,2024-04-13
U0030,P0499,3,2024-05-07
U0016,P0560,1,2024-05-05
U0021,P0509,5,2024-05-08
U0021,P0207,5,2024-04-26
U0022,P0389,4,2024-05-27
U0006,P0668,5,2024-04-26
U0010,P0668,3,2024-04-05
U0013,P0120,1,2024-04-16
U0030,P0437,5,2024-05-15
U0005,P0158,3,2024-04-29
U0026,P0064,2,2024-05-19
U0008,P0681,4,2024-04-02
U0020,P0622,4,2024-04-17
U0025,P0457,3,2024-04-26
U0010,P0693,5,2024-05-17
U0022,P0315,2,2024-04-29
U0028,P0094,5,2024-05-01
U0023,P0657,5,2024-05-14
U0017,P0506,4,2024-04-19
U0010,P0251,1,2024-04-21
U0026,P0176,2,2024-04-05
U0026,P0620,2,2024-05-02
U0002,P0366,2,2024-04-01
U0012,P0478,4,2024-04-11
U0004,P0263,4,2024-04-20
U0002,P0026,2,2024-03-31
U0022,P0522,3,2024-04-18
U0014,P0518,4,2024-05-06
U0001,P0617,2,2024-05-06
U0002,P0077,4,2024-04-30
U0021,P0282,5,2024-05-25
U0009,P0499,4,2024-04-20
U0010,P0481,1,2024-04-30
U0014,P0176,2,2024-04-18
U0007,P0026,4,2024-05-14
U0005,P0518,3,2024-05-21
U0028,P0229,1,2024-05-08
U0027,P0676,2,2024-05-02
U0013,P0289,2,2024-05-09
U0005,P0654,3,2024-05-24
U0008,P0563,4,2024-05-10
U0009,P0282,5,2024-05-25
U0024,P0017,1,2024-04-20
U0009,P0124,5,2024-04-16
U0014,P0594,1,2024-04-05
U0023,P0094,5,2024-04-13
U0014,P0462,2,2024-05-13
U0008,P0229,1,2024-04-03
U0025,P0625,5,2024-04-30
U0012,P0584,3,2024-04-14
U0002,P0176,3,2024-05-27
U0007,P0062,4,2024-05-04
U0018,P0622,3,2024-05-17
U0013,P0190,3,2024-04-28
U0009,P0013,5,2024-04-23
U0029,P0026,3,2024-05-14
U0002,P0563,4,2024-03-31
U0027,P0627,1,2024-05-01
U0002,P0563,4,2024-04-07
U0026,P0617,3,2024-05-21
U0017,P0509,4,2024-05-08
U0005,P0432,1,2024-03-29
U0025,P0066,4,2024-04-02
U0023,P0563,1,2024-04-22
U0018,P0229,4,2024-05-15
U0021,P0050,4,2024-04-24
U0013,P0512,4,2024-05-19
U0001,P0620,4,2024-05-23
U0029,P0534,3,2024-05-11
U0013,P0073,5,2024-04-01
U0015,P0365,2,2024-04-17
U0012,P0519,3,2024-04-30
U0021,P0513,5,2024-05-10
U0015,P0619,2,2024-04-04
U0015,P0563,4,2024-04-14
U0009,P0201,3,2024-04-07
U0014,P0513,3,2024-05-12
U0029,P0646,4,2024-05-09
U0010,P0594,3,2024-05-21
U0001,P0190,5,2024-04-11
U0009,P0025,4,2024-05-10
U0010,P0114,2,2024-05-04
U0025,P0512,3,2024-04-08
U0008,P0676,3,2024-05-14
U0020,P0462,1,2024-05-14
U0029,P0512,5,2024-05-14
U0029,P0657,1,2024-04-04
U0016,P0514,2,2024-05-06
U0026,P0190,2,2024-05-02
U0004,P0462,4,2024-04-20
U0014,P0050,1,2024-04-07
U0017,P0013,1,2024-05-25
U0009,P0629,5,2024-04-01
U0016,P0389,3,2024-04-26
U0030,P0017,3,2024-05-14
U0011,P0535,5,2024-03-31
U0017,P0423,5,2024-05-05
U0001,P0192,5,2024-04-16
U0028,P0420,5,2024-05-23
U0024,P0437,4,2024-05-01
U0003,P0457,5,2024-05-22
U0016,P0560,1,2024-05-23
U0001,P0534,1,2024-04-27
U0026,P0004,2,2024-04-07
U0010,P0372,3,2024-04-29
U0001,P0693,4,2024-04-05
U0029,P0263,5,2024-05-06
U0013,P0288,2,2024-04-14
U0023,P0050,3,2024-04-02
U0019,P0659,5,2024-04-04
U0026,P0244,5,2024-05-10
U0011,P0695,1,2024-05-22
U0006,P0695,4,2024-05-17
U0014,P0203,2,2024-04-25
U0022,P0695,4,2024-04-24
U0017,P0527,1,2024-05-06
U0029,P0192,2,2024-05-11
U0006,P0535,5,2024-04-27
U0016,P0534,1,2024-04-07
U0029,P0695,5,2024-04-18
U0022,P0282,2,2024-05-15
U0003,P0124,2,2024-04-26
U0026,P0659,2,2024-05-08
U0026,P0516,4,2024-04-23
U0029,P0176,5,2024-04-08
U0007,P0124,4,2024-04-17
U0021,P0064,4,2024-05-03
U0020,P0420,2,2024-04-20
U0017,P0276,4,2024-03-31
U0022,P0627,3,2024-05-13
U0016,P0435,5,2024-04-15
U0024,P0062,1,2024-05-15
U0029,P0583,1,2024-05-10
U0030,P0017,4,2024-05-03
U0016,P0696,1,2024-05-19
U0020,P0583,5,2024-03-31
U0026,P0064,1,2024-05-17
U0029,P0299,2,2024-05-21
U0015,P0435,1,2024-04-13
U0019,P0509,2,2024-04-24
U0018,P0620,3,2024-05-16
U0030,P0481,1,2024-04-11
U0002,P0506,5,2024-03-31
U0009,P0527,2,2024-05-26
U0017,P0285,5,2024-05-17
